Scenario,Relationship,Seriousness,Tone,Excuse_Text,Believability_Score
Forgot birthday,Friend,Low,Formal,"Here are ten natural human-like excuses for forgetting someone's birthday as a friend, in a formal tone:",1
Forgot anniversary,Romantic,Low,Formal,I've been so busy with work projects that I completely spaced out the date and didn't mean to forget.,1
Cancelled plans,Friend,High,Emotional,"The power went out at my place and I'm stuck without lights, water, or heat - not exactly the best night for socializing.",5
Forgot anniversary,Romantic,Medium,Formal,"I'm so sorry, I was in the midst of a crucial project at work and lost track of time.",3
Late project submission,Professional,Low,Apologetic,"To be honest, I underestimated how long it would take to complete the project, and before I knew it, the deadline had passed.",1
Forgot birthday,Friend,Low,Formal,"My email client glitched, and the birthday notification got stuck in spam.",1
Missed family event,Family,High,Emotional,"I was running errands for a neighbor who was out of town, and it took longer than expected, leaving me no time to get to the event.",5
Didn’t attend family dinner,Family,Low,Emotional,"I had a meeting at the last minute that ran way longer than expected, no chance to reschedule, sorry about that.",2
Forgot birthday,Friend,Medium,Formal,"I've been dealing with some personal issues and my mind hasn't been on celebrating birthdays lately, I hope you can understand.",2
Didn’t attend family dinner,Family,Low,Emotional,"The rain was coming down like crazy and I didn't want to get caught driving around in a flooded mess, not worth the risk.",2
Cancelled plans,Friend,Medium,Formal,My grandmother is in the hospital and I need to visit her today instead.,2
Late project submission,Professional,High,Apologetic,"My internet connection was out of service for several hours, making it impossible for me to submit the project remotely, and I apologize for any inconvenience this may have caused.",4
Didn’t attend family dinner,Family,Medium,Apologetic,"I got stuck in traffic and took the wrong exit, which put me way off course from getting home on time.",2
Missed meeting,Professional,Low,Apologetic,"I'm so sorry, I got stuck in a crazy traffic jam on the way here and totally lost track of time.",3
Cancelled plans,Friend,Low,Apologetic,"I'm so sorry, but I had to cancel our plans because my cat got stuck in the tree and I couldn't bear the thought of leaving her up there.",1
Missed family event,Family,High,Apologetic,"I know this is last minute, but I was dealing with an unexpected medical issue that required immediate attention and I didn't have a choice but to prioritize my health.",3
Cancelled date,Romantic,Medium,Apologetic,I'm still dealing with the aftermath of a power outage at my place and I don't think it's safe for me to leave tonight.,4
Cancelled date,Romantic,High,Apologetic,My car broke down on the way home from work and I have to deal with the tow truck and insurance company now.,4
Cancelled date,Romantic,Low,Formal,My internet connection at home has gone out and I really need to sort it out before things get too chaotic.,1
Cancelled plans,Friend,High,Formal,I received an urgent message from my boss regarding a pressing matter that requires my attention immediately.,5
Cancelled plans,Friend,Low,Emotional,I had a sudden case of food poisoning from last night's dinner and I don't think I could've made it without risking getting sick all over the place.,2
Cancelled date,Romantic,Medium,Emotional,"I feel terrible, but something unexpected came up at work and I need to deal with it right away.",3
Cancelled date,Romantic,High,Casual,My family is in town unexpectedly and we need to catch up before they leave tomorrow morning.,3
Didn’t attend family dinner,Family,Low,Formal,"I had to take an unexpected phone call from a friend that couldn't wait, and I didn't want to disturb the whole family.",1
Missed exam,Academic,Low,Formal,"My phone died during the night, and I didn't get any messages until this morning when it was too late.",3
Didn’t attend family dinner,Family,High,Apologetic,"I had a last-minute meeting that ran way longer than expected, and before I knew it, dinner time had passed.",4
Forgot birthday,Friend,Low,Formal,"I'm deeply sorry, but I got caught up in work and lost track of time.",1
Late to class,Academic,Medium,Apologetic,"There was a power outage in my apartment building that knocked out the lights and my computer, so it took me a bit longer than usual to get dressed and out the door.",2
Forgot birthday,Friend,Medium,Apologetic,"It sounds silly, but I think I must have left my planner at home and didn't bring it with me today, which means I had no way of keeping track of the date.",2
Missed meeting,Professional,Medium,Formal,"Regrettably, I was held up at the airport dealing with unexpected travel issues that prevented me from making it to our scheduled meeting on time.",3
Cancelled plans,Friend,Medium,Emotional,"I didn't mean to be flaky, but I've been dealing with a lot of stress lately and I just need one more day to recharge before socializing again.",2
Late project submission,Professional,Medium,Casual,"I was trying to meet with you earlier this week to discuss some changes to the project scope, but unfortunately our schedules didn't align, which threw off my entire workflow.",3
Missed exam,Academic,High,Formal,Here are 10 different excuses for missing an exam:,5
Late project submission,Professional,Low,Emotional,"I was having trouble sleeping last night and didn't get out of bed until this morning, which totally threw off my schedule.",1
Forgot anniversary,Romantic,High,Casual,"I had a meeting that ran way longer than expected and then traffic was a nightmare, so by the time I got home, it was already too late.",3
Cancelled plans,Friend,Medium,Casual,"I'm dealing with a bit of a family drama that I need to take care of ASAP, so I have to cancel our plans.",4
Cancelled date,Romantic,Low,Emotional,"Honestly, I was having a weird day and started feeling really anxious about our date, so I think it's better if we just take the night off to recharge before getting back into things.",2
Cancelled date,Romantic,Low,Casual,I had a crazy dream last night that's been bugging me all day and I need some time to process it before we hang out again.,1
Forgot birthday,Friend,Low,Emotional,"I know this is crazy, but I actually had a dream that you'd forgotten my birthday, so I guess the universe decided to play a little joke on us!",1
Didn’t attend family dinner,Family,Medium,Formal,"I had a last-minute meeting with my supervisor that ran longer than anticipated, and I didn't want to risk being late again.",3
Forgot anniversary,Romantic,High,Formal,"I was completely absorbed in work and lost track of time, which is why I didn't remember the significance of today's date until just now.",3
Forgot anniversary,Romantic,Low,Casual,I left my planner at home and didn't have any reminders or alarms to wake me up.,2
Late project submission,Professional,Low,Emotional,I took my kid to the doctor's appointment this morning and lost track of time - sorry!,1
Missed meeting,Professional,Medium,Emotional,"I received a critical update from one of my team members that required my immediate attention, leaving me no choice but to miss the meeting.",3
Forgot birthday,Friend,Medium,Formal,"My internet connection has been spotty at my place and I couldn't send you a message or make a call until today, so I'm sorry for the delay.",2
Missed exam,Academic,High,Formal,I was rushed to the hospital early that morning due to a family emergency and didn't have time to notify anyone.,3
Cancelled plans,Friend,High,Casual,I woke up this morning with a nasty bug and I don't think I can make it in person today.,4
Didn’t attend family dinner,Family,Medium,Formal,I had to make a last-minute run to the store to pick up some essential items that I couldn't do without.,4
Forgot anniversary,Romantic,Low,Casual,I was so caught up in work I completely spaced it and didn't even think about the date.,1
Missed meeting,Professional,Low,Emotional,"I was in a meeting with another client that ran way longer than expected, and before I knew it, an hour had passed and it was too late for yours.",3
Late project submission,Professional,Medium,Emotional,"I was working on the project, but my energy levels were really low due to a lingering illness, making it hard for me to stay focused.",3
Didn’t attend family dinner,Family,Low,Casual,"I completely spaced out and forgot about family dinner â€“ sorry, brain fart!",3
Forgot birthday,Friend,Medium,Formal,"I was overwhelmed with work and didn't have time to think about your special day, I'm truly sorry for the oversight.",2
Missed family event,Family,Low,Emotional,"I'm deeply sorry that I missed the family picnic, I had a nasty cold and didn't want to risk getting anyone else sick.",2
Missed exam,Academic,Medium,Apologetic,"I was having a really tough time with my health and didn't feel well enough to leave the house, let alone take an exam.",4
Missed family event,Family,Medium,Formal,I received an emergency phone call from my doctor's office regarding some test results and I had to prioritize that over attending the event.,2
Forgot anniversary,Romantic,Low,Emotional,"I think the stress of moving into our new place got to me, and I just blanked out on the anniversary altogether.",1
Cancelled date,Romantic,Low,Casual,My apartment complex is having a surprise inspection tonight and I have to make sure everything is in order before they come knocking.,2
Late project submission,Professional,High,Formal,"A last-minute change in project scope necessitated a significant rewrite, which took up more time than anticipated, causing the delay.",3
Late project submission,Professional,Medium,Casual,"Unfortunately, my primary computer gave out on me mid-project, and it took a while to get it replaced with a new one and get everything transferred over.",4
Cancelled plans,Friend,Low,Apologetic,"Unfortunately, I had a bit of a wardrobe malfunction this morning and my favorite shirt got ruined in the wash - need some time to replace it.",2
Forgot anniversary,Romantic,High,Casual,I was up all night helping a friend with an emergency and then fell asleep as soon as I got home - totally spaced out on the date.,3
Didn’t attend family dinner,Family,Medium,Formal,"A traffic accident blocked my usual route, causing me to take a detour that added an extra 30 minutes to my commute.",4
Missed exam,Academic,High,Emotional,I was in the hospital with my sibling who had a sudden and unexpected heart attack.,5
Cancelled date,Romantic,Medium,Casual,My grandma is visiting from out of town and I promised her we'd spend some quality time together tonight.,4
Cancelled date,Romantic,Low,Emotional,"I'm so sorry, but I had to cancel our date because my cat got stuck in the shower and I needed to help her get out without freaking out.",2
Late to class,Academic,Medium,Emotional,The bus I usually take got stuck in traffic and I had to catch a different one that took longer than usual to arrive.,3
Forgot anniversary,Romantic,Medium,Apologetic,"I've been dealing with some family issues and my mind was elsewhere, forgetting our anniversary is not an excuse, but it's what happened.",3
Missed meeting,Professional,High,Casual,"I apologize for the mistake, but I received an urgent email from my boss about a critical project update that required my priority attention right away.",5
Missed meeting,Professional,High,Casual,"Unbeknownst to me, my schedule got jumbled due to an unexpected change in another meeting's timing, which threw off my whole day.",3
Missed meeting,Professional,Low,Formal,"My internet connection dropped right as the meeting was about to start, and I couldn't quickly get back online.",2
Missed family event,Family,Low,Emotional,"I'm sorry I missed the celebration, I was dealing with some personal stuff at home and didn't want to be a downer on what was supposed to be a happy occasion.",3
Forgot birthday,Friend,Medium,Formal,"I was traveling and lost my phone charger, which meant I couldn't access your contact information, and by the time I got back online, it was too late.",2
Cancelled plans,Friend,High,Emotional,My car broke down on the way home from work and I'm stuck dealing with the insurance company right now.,5
Didn’t attend family dinner,Family,Low,Emotional,"I was running late from work and didn't want to ruin the evening with my tardiness, so I figured it would be better if I just went back to my place.",1
Forgot birthday,Friend,High,Casual,"I'm really sorry, but I think I might have left the cake burning in the oven and went out to grab some coffee, and then... yeah.",3
Cancelled date,Romantic,Low,Formal,One of my closest friends is going through a tough time and I promised them I'd meet up for an emergency coffee this afternoon.,3
Cancelled date,Romantic,High,Emotional,"To be honest, I've been having some personal issues lately and I don't think tonight would be a good time for us to spend together - maybe soon?",5
Cancelled date,Romantic,Medium,Casual,"I was really looking forward to seeing you, but my car broke down on the way here and I'm stuck in traffic.",4
Late to class,Academic,Medium,Formal,"The elevator in my building was out of order, so I had to take the stairs, which added some extra minutes to my commute.",4
Cancelled date,Romantic,High,Formal,I've received an unexpected invitation to a last-minute work conference that I need to attend tomorrow morning and I won't be able to make it tonight.,3
Missed family event,Family,Low,Casual,"Here are ten casual, low-seriousness excuses for missing a family event:",1
Didn’t attend family dinner,Family,Low,Apologetic,"I completely spaced out and forgot about dinner, I'm so sorry for the oversight.",2
Cancelled date,Romantic,High,Casual,I realized last night that I have a family obligation I completely forgot about and I need to attend to it tonight.,4
Didn’t attend family dinner,Family,Low,Emotional,"I was so exhausted from staying up late the night before, I just couldn't muster the energy to make it to dinner.",2
Didn’t attend family dinner,Family,Low,Formal,My car battery was dead and I had to get it jump-started before coming over.,1
Didn’t attend family dinner,Family,Low,Apologetic,My car broke down on the side of the road and I couldn't make it home in time.,3
Cancelled plans,Friend,Low,Casual,I just got a call from my sister saying she's having a crisis at home and I needed to be there for her.,1
Forgot birthday,Friend,Medium,Emotional,"My brain has been in a fog since the move and I swear, every day is starting to blend together - sorry again for forgetting!",3
Late to class,Academic,Low,Apologetic,"My ride-share driver got lost on the way here, even though they swore up and down they knew these streets like the back of their hand.",2
Missed meeting,Professional,High,Apologetic,"My phone was dead and I forgot to charge it overnight, so I couldn't receive any reminders or notifications about our meeting.",5
Missed meeting,Professional,High,Formal,"Unfortunately, my car broke down this morning, leaving me no choice but to reschedule our meeting.",4
Missed exam,Academic,Low,Apologetic,"I was waiting for a important call from my bank regarding my student loan, and I lost track of time.",1
Didn’t attend family dinner,Family,High,Emotional,I had to make an unexpected trip to the emergency room for my cat and didn't have time for dinner.,3
Missed meeting,Professional,Low,Emotional,"I got caught up in a really good podcast episode that I just couldn't tear myself away from, and before I knew it, the meeting was long over.",2
Cancelled date,Romantic,Medium,Emotional,"I'm so sorry, but I have to cancel our plans today because my cat got sick and needs immediate attention.",3
Missed family event,Family,High,Apologetic,"I know this is no excuse, but I got stuck helping out a neighbor who had a medical emergency and wasn't able to get away in time.",4
Cancelled date,Romantic,Medium,Apologetic,"I just found out that my favorite restaurant is closed for renovations, and I was really looking forward to trying it out tonight.",2
Missed family event,Family,Low,Casual,I was feeling really under the weather and just needed some extra rest.,1
Missed exam,Academic,Medium,Casual,"My alarm clock didn't go off and I overslept, leaving me no time to get ready for the test.",3
Missed family event,Family,Medium,Emotional,"I'm deeply sorry for not being there to celebrate your new job, but I got stuck in a meeting that ran way longer than expected and I couldn't get out of it.",2
Late project submission,Professional,Medium,Casual,"There was a lot more to the project than I initially thought, and I wanted to make sure I did everything correctly rather than rushing through it.",3
Missed meeting,Professional,High,Casual,"I'm really sorry, but I had to take care of a personal matter at home and it took longer than expected to resolve, so I missed our meeting.",4
Forgot anniversary,Romantic,High,Casual,I've been feeling really overwhelmed with everything going on lately and just spaced out on the date.,3
Late project submission,Professional,Low,Formal,"I was attending an industry conference last week and didn't have access to necessary resources or internet connectivity, making it impossible to meet the deadline from there.",2
Didn’t attend family dinner,Family,Low,Casual,I had a sudden case of food poisoning from lunch and didn't want to risk infecting anyone else â€“ sorry about that!,2
Cancelled date,Romantic,High,Emotional,"Honestly, I've been feeling really anxious all day and I don't think I'd be much fun on a date tonight - maybe we can reschedule for another time?",4
Missed family event,Family,Medium,Apologetic,"I'm so sorry I missed your birthday party, something unexpected came up at work and I had to deal with it right away.",2
Forgot birthday,Friend,High,Casual,"Honestly, I've been so stressed about all the changes happening in our friend group lately that it slipped my mind.",4
Late to class,Academic,High,Apologetic,My alarm clock didn't go off and I overslept by 15 minutes.,3
Cancelled plans,Friend,Low,Casual,I was rewatching my favorite show and lost track of time - guilty pleasure alert!,1
Cancelled date,Romantic,Medium,Casual,My dog got loose and I had to spend the evening chasing after him around the neighborhood â€“ sorry for the last-minute cancellation!,3
Forgot birthday,Friend,High,Apologetic,"I'm really ashamed of myself for forgetting, but I've had a lot on my plate lately and it slipped through the cracks.",3
Missed family event,Family,Medium,Apologetic,"My internet connection went out and I spent all morning trying to get it back up, then I didn't have time to make it there.",3
Late project submission,Professional,High,Emotional,"My car broke down, leaving me without transportation to get to meetings or make client visits, which took time away from working on this project.",4
Cancelled plans,Friend,Low,Apologetic,"I feel awful saying this, but I just got a call from my mom and she needs me to come help with an emergency at her place.",1
Cancelled date,Romantic,High,Casual,"My boss just called and needs me to work late, it's an emergency situation.",5
Forgot birthday,Friend,Low,Emotional,"To be real, I'm just really sorry because I know how much birthdays mean to you, and I feel awful for not making more of an effort.",2
Forgot birthday,Friend,High,Apologetic,"I know this is no way to celebrate our friendship, but life got busy and your special day just flew right by me.",5
Missed exam,Academic,High,Casual,"I was having a really rough morning and got stuck in traffic, which made me late for the exam.",4
Cancelled date,Romantic,Medium,Formal,"A friend from out of town is suddenly visiting, and I promised them I'd catch up over dinner tonight instead.",4
Cancelled date,Romantic,Medium,Apologetic,"I'm so sorry, but something unexpected came up at work and I have to take care of it today.",2
Forgot birthday,Friend,Medium,Formal,"My phone died yesterday and I haven't had a chance to charge it until today, so I'm just getting around to realizing what happened.",4
Late project submission,Professional,Medium,Formal,A sudden change in my personal circumstances meant I had to focus on addressing those issues before dedicating time to the project.,4
Late to class,Academic,Low,Formal,I had to make an unexpected stop at the library to pick up some materials for my psychology project.,3
Missed family event,Family,Low,Formal,"I apologize for not being there, but I got stuck in a meeting that went on much longer than scheduled, which is why I was delayed getting home.",3
Missed exam,Academic,High,Formal,"I was experiencing severe anxiety attacks that morning, which left me unable to function or leave my home.",4
Late to class,Academic,High,Emotional,"I know I should have left earlier, but I had a family emergency that came up at the last minute and I needed to take care of it.",4
Forgot birthday,Friend,Low,Emotional,"It's not the best excuse, but I was on a business trip and didn't have reliable Wi-Fi or cell service to wish you happy birthday.",3
Missed family event,Family,Low,Apologetic,"My car battery died on me this morning and I didn't have time to get it replaced before your big celebration, I feel terrible for missing it.",2
Cancelled plans,Friend,High,Casual,One of my pipes burst at home and I have to deal with the mess before things get worse.,4
Cancelled date,Romantic,Medium,Casual,"My favorite restaurant just got shut down due to a health code violation, and I was really looking forward to trying their new menu.",4
Missed family event,Family,High,Formal,I had a family emergency that arose unexpectedly and I had to tend to it before we could connect.,5
Cancelled date,Romantic,Low,Formal,Here are 10 different natural human-like excuses for cancelling a romantic date:,3
Forgot birthday,Friend,High,Apologetic,"I'm really sorry, but my brain has been a bit of a fog lately and your birthday got lost in the shuffle.",4
Late to class,Academic,Low,Casual,"My bus broke down on the way here, and I had to wait for another one to arrive.",3
Forgot anniversary,Romantic,Medium,Apologetic,"I was so caught up in work and completely spaced out the date, I feel terrible for forgetting our anniversary.",3
Forgot birthday,Friend,Low,Casual,I've been trying to get this big project done at work and time flew by without me realizing what day it is.,3
Missed family event,Family,Medium,Formal,"I was stuck in traffic and didn't have time to stop before it got too late, I'm really sorry about missing your birthday party.",4
Forgot anniversary,Romantic,Medium,Formal,You know how it is when life gets busy - sometimes things just slip your mind.,2
Forgot anniversary,Romantic,Medium,Emotional,"Your dad and I got into a long discussion about our old college days and before we knew it, hours had passed without me checking my phone.",4
Late to class,Academic,Medium,Apologetic,"I was on a conference call with my boss from 9-10 am, which left me scrambling to get ready afterwards.",4
Missed family event,Family,Low,Casual,I had a last-minute work emergency that needed my attention ASAP.,1
Cancelled date,Romantic,High,Apologetic,"Unfortunately, my family emergency just took a turn for the worse and I need to attend to it tonight.",3
Forgot anniversary,Romantic,Medium,Formal,"In my defense, I was overwhelmed with work and didn't have the mental capacity to remember everything.",3
Missed meeting,Professional,High,Casual,"I'm so sorry I missed our meeting, but I had a sudden and unavoidable family emergency that required my immediate attention.",5
Forgot anniversary,Romantic,High,Casual,"I was in a serious car accident on my way to work and my brain is still trying to process everything that happened, so anniversary stuff just slipped through the cracks.",5
Forgot anniversary,Romantic,High,Emotional,"I've been stuck in this rut lately where every day feels like Groundhog Day and time seems to be standing still, so our anniversary slipped my mind amidst all the monotony.",5
Missed meeting,Professional,Medium,Casual,"I had a last-minute appointment with a client that ran over schedule, leaving me no choice but to skip our meetup.",2
Late project submission,Professional,Medium,Apologetic,"I'm really sorry about the delay, but I was hit with an unexpected family emergency that required my immediate attention.",3
Cancelled plans,Friend,Low,Apologetic,"To be honest, I'm feeling a bit under the weather and didn't want to risk getting you sick too, so let's reschedule for another day?",2
Missed meeting,Professional,Medium,Apologetic,"Unfortunately, my phone battery died right when the meeting was supposed to start, and I couldn't receive any calls or messages.",4
Didn’t attend family dinner,Family,Low,Emotional,I had a little mishap with my favorite shirt and didn't want to be that guy showing up late looking like a mess.,3
Late project submission,Professional,High,Emotional,I was so overwhelmed with work from other projects that I lost track of time and didn't have the mental clarity to focus on this one until now.,5
Late to class,Academic,Medium,Emotional,"I'm so sorry, but my alarm didn't go off and I overslept by a significant amount â€“ it won't happen again, I promise.",4
Missed family event,Family,Low,Apologetic,"I was helping a friend move into their new apartment and lost track of time, please forgive me for not being there for your milestone birthday.",1
Missed exam,Academic,Low,Emotional,"The traffic was absolutely atrocious on the highway, and I got stuck in a jam for over an hour, causing me to be late.",3
Forgot birthday,Friend,Low,Casual,I've been dealing with some personal stuff lately and my brain has been in a fog - sorry for the oversight!,2
Forgot anniversary,Romantic,Medium,Emotional,"I was taking care of my sick neighbor and lost track of the day, I feel awful for not remembering our special day.",2
Cancelled plans,Friend,Low,Emotional,I lost my wallet and had to spend hours reapplying for credit cards and getting new ID stuff done before I could even think about leaving the house.,2
Didn’t attend family dinner,Family,High,Casual,I was helping out a friend who needed a hand with something unexpected.,3
Late to class,Academic,Low,Apologetic,I got stuck in traffic behind a bunch of slow-moving tourists taking selfies on the sidewalk.,3
Forgot anniversary,Romantic,Low,Casual,"I was binge-watching my favorite show and got sucked into it, no idea what time it was!",1
Missed family event,Family,High,Emotional,"I was stuck in traffic and lost track of time, I'm so sorry to have missed the celebration.",3
Missed family event,Family,Medium,Casual,I was stuck in traffic and didn't get out of the city until it was too late to make it to your event.,3
Forgot anniversary,Romantic,High,Casual,I was so caught up in work that I completely lost track of time and didn't even think about it until now.,3
Didn’t attend family dinner,Family,High,Apologetic,My internet was out at home and I needed to take care of some important business online before the day was over.,3
Didn’t attend family dinner,Family,Medium,Emotional,I had a family emergency of my own that required my attention this afternoon.,2
Didn’t attend family dinner,Family,Medium,Apologetic,"I had a last-minute meeting with a potential new client and I really couldn't miss it, so I had to prioritize that over coming home for dinner.",4
Forgot birthday,Friend,Medium,Emotional,"To be honest, I've just been really stressed with work lately and wasn't thinking clearly enough to remember your special day.",3
Missed family event,Family,Medium,Casual,"I had a last-minute meeting at work that ran way longer than expected, and I didn't want to risk being late.",3
Late to class,Academic,Low,Emotional,I was on the phone with my mom when I was getting ready and she started telling this super long story about her cat's vet appointment and I just got caught up in it and lost track of time.,2
Cancelled plans,Friend,High,Apologetic,"To be honest, something went wrong with my schedule at the last minute - a meeting got pushed back to tonight and I had to adjust everything on short notice.",4
Cancelled date,Romantic,Medium,Formal,"I've been dealing with a personal issue that's come up, and I need some time to sort things out before we can hang out again.",4
Missed exam,Academic,Low,Emotional,I was at the doctor's office getting a minor procedure done and they had to reschedule it last minute.,1
Late project submission,Professional,Low,Apologetic,"I was having some trouble with the software we're using for this project, and it took me longer than expected to figure out the issue.",1
Cancelled plans,Friend,Low,Formal,I have a family emergency that requires my attention today and can't cancel on short notice.,2
Forgot birthday,Friend,High,Formal,"To be fair, we were both supposed to meet up on your birthday for coffee, but then you had to cancel at the last minute due to a family emergency, and my memory got stuck in neutral.",4
Missed family event,Family,High,Casual,My neighbor's dog got loose and I had to help chase it down before it got hurt or caused any damage to anyone's property.,3
Cancelled plans,Friend,High,Casual,I had to take care of a family emergency â€“ my grandma just got hospitalized unexpectedly.,5
Forgot birthday,Friend,High,Casual,"I know this sounds crazy, but I had a weird dream last night that totally threw me off my game.",5
Late project submission,Professional,Low,Formal,I was dealing with some personal issues outside of work that required my attention and took up more time than I had initially anticipated.,2
Forgot anniversary,Romantic,Medium,Casual,"I've been putting off getting a new calendar because my old one ran out of space, so I didn't have a reliable way to keep track of important dates like our anniversary.",3
Late to class,Academic,Low,Formal,"A group of friends were celebrating a birthday outside my apartment complex, and the noise kept me awake until late.",2
Forgot birthday,Friend,Low,Formal,"To be honest, I just spaced out and forgot â€“ it won't happen again!",2
Forgot birthday,Friend,Medium,Casual,You know how it is when you get busy with life - sometimes things just slip through the cracks.,2
Late to class,Academic,Medium,Casual,"I had to stop for some unexpected errands â€“ my neighbor needed help moving some heavy boxes, and then I got stuck behind a slow-moving pedestrian.",4
Missed family event,Family,High,Formal,"Traffic was a nightmare and I got stuck in a jam on the highway that left me with no choice but to take a detour, which added extra time to my commute.",5
Missed family event,Family,High,Emotional,"My flight was delayed due to inclement weather, and by the time I arrived, everyone had already left.",5
Late project submission,Professional,Low,Formal,"The project's complexity grew exponentially as we delved deeper into the details, requiring more time than initially anticipated to get everything right.",2
Late to class,Academic,Medium,Apologetic,I got held up in the library doing some last-minute research for an assignment that's due today and lost track of time.,4
Didn’t attend family dinner,Family,High,Apologetic,I was stuck in traffic and couldn't get out of town fast enough to make it to dinner.,4
Cancelled date,Romantic,High,Apologetic,"I'm so sorry, but something unexpected came up at work and I have to take care of it ASAP.",5
Cancelled plans,Friend,High,Emotional,We had a pipe burst in my apartment building and I have to deal with the insurance company and contractors ASAP.,5
Missed meeting,Professional,Medium,Apologetic,"Unfortunately, my car broke down on the way here and I was stuck in traffic for hours before I could get someone to come fix it.",4
Forgot anniversary,Romantic,Low,Emotional,"You know how it is when you're trying to cook a complex meal for dinner and everything that can go wrong does? Yeah, that's basically what happened with the anniversary â€“ a series of unfortunate events!",1
Cancelled plans,Friend,High,Casual,"My car broke down on the way here, so I won't be able to make it today.",4
Missed meeting,Professional,Low,Formal,"I had an unexpected issue with my computer and couldn't access the meeting invite, so I didn't receive the reminder.",1
Didn’t attend family dinner,Family,High,Casual,A family emergency came up at the last minute and I had to deal with it.,4
Cancelled date,Romantic,Low,Emotional,"Something unexpected came up at work, and our manager asked me to take on an impromptu task that requires my immediate attention tonight.",3
Didn’t attend family dinner,Family,High,Emotional,"Something came up at work and I had to deal with it right away, Dad.",3
Missed exam,Academic,High,Apologetic,"I was feeling incredibly under the weather yesterday and my doctor advised me to take it easy, which is why I missed the exam.",4
Forgot anniversary,Romantic,High,Casual,"My phone died this morning and I didn't get around to charging it until hours later, so your texts were missed.",3
Missed family event,Family,High,Apologetic,"I'm truly sorry to have missed your special day, but an unexpected issue with our plumbing system at home required immediate attention and I couldn't leave until it was resolved.",3
Forgot anniversary,Romantic,Low,Casual,I was out with friends celebrating someone else's birthday and it just slipped my mind.,1
Missed exam,Academic,Low,Formal,Here are 10 different natural human-like excuses for missing an exam:,1
Missed family event,Family,Low,Casual,My car broke down on the way to your place and I had to wait for a tow truck.,1
Missed family event,Family,Low,Formal,"Regrettably, I wasn't feeling well earlier and needed to rest for a bit before heading out, but by the time I felt better it was too late to make it to the event.",2
Forgot birthday,Friend,High,Emotional,"It pains me to admit it, but I got caught up in my own problems and completely spaced out on celebrating with you.",5
Cancelled date,Romantic,Medium,Emotional,"Last night's thunderstorm really took a toll on me and I think I'm coming down with some kind of bug, so I don't want to risk getting you sick either.",2
Cancelled plans,Friend,High,Formal,I've been feeling under the weather for the past few hours and don't think it's wise for me to venture out in public right now.,4
Missed exam,Academic,Medium,Emotional,"My flight from out of town got delayed due to bad weather and I didn't arrive until after the exam was over, I apologize for not being able to make the earlier one.",2
Forgot anniversary,Romantic,Medium,Emotional,"I was so focused on finishing this project for work that time just flew by and before I knew it, the day had passed without me noticing.",4
Didn’t attend family dinner,Family,Medium,Casual,"I had a friend in town and we ended up having a long, unexpected conversation â€“ I didn't mean to miss out on family time.",3
Didn’t attend family dinner,Family,Low,Formal,I got stuck in traffic because of an accident on the highway and arrived a bit late.,1
Forgot birthday,Friend,High,Emotional,"Honestly, I've had a lot on my plate lately and my memory has been shot due to lack of sleep and stress.",4
Missed family event,Family,Low,Emotional,"I feel terrible about missing the family gathering, my car broke down on the side of the road and I was waiting for a tow truck to arrive.",3
Late to class,Academic,Low,Casual,I dropped something important on the sidewalk and had to go back to grab it before I forgot where I put it.,1
Didn’t attend family dinner,Family,Medium,Emotional,"Unfortunately, my ride fell through at the last minute and I couldn't find another one in time.",2
Late to class,Academic,Medium,Emotional,I was running behind schedule because I had to take care of an unexpected family emergency that popped up this morning.,2
Missed family event,Family,Medium,Formal,I had to take a last-minute trip to the hospital to visit a sick relative and couldn't make it back in time for the gathering.,3
Late to class,Academic,Low,Emotional,I stopped at the coffee shop to grab a quick breakfast sandwich and got stuck behind this super slow walker who just wouldn't move out of the way.,2
Late project submission,Professional,Medium,Casual,"My internet connection was spotty all week, making it difficult for me to upload files or access certain tools and resources.",2
Cancelled plans,Friend,Low,Casual,"I was stuck in traffic and couldn't make it out of town to meet up with you, sorry about that!",2
Missed family event,Family,Low,Emotional,"I'm so sorry I missed the family BBQ, I got stuck in traffic on the way home from work and didn't make it until hours after everyone had left.",1
Late to class,Academic,Low,Apologetic,My alarm didn't go off because my phone was dead and I forgot to charge it overnight.,1
Missed meeting,Professional,High,Casual,"I apologize for the mix-up, but my car broke down on the way to our meeting location and I had to take care of it before proceeding.",5
Missed family event,Family,Medium,Emotional,"I'm deeply sorry I wasn't there to celebrate your milestone anniversary, but I received an emergency call from work that I couldn't ignore and it took me all day to resolve.",3
Didn’t attend family dinner,Family,High,Apologetic,Something unexpected came up at work and I had to deal with it immediately.,5
Late project submission,Professional,High,Formal,Unforeseen technical issues with my computer prevented me from accessing the file and completing the project on time.,4
Missed meeting,Professional,Low,Casual,I was running late because I got stuck in a crazy traffic jam on the way to the office and didn't have time to grab coffee before we were supposed to meet.,3
Missed family event,Family,Low,Formal,Here are 10 different natural human-like excuses for missing a family event:,1
Late project submission,Professional,High,Emotional,"Unforeseen family issues came up and I had to prioritize my personal life, leaving me little time for anything else.",5
Late to class,Academic,Medium,Emotional,"I'm really sorry I'm late, but I got stuck in the elevator on my way here and it took forever to get out.",3
Cancelled date,Romantic,High,Apologetic,I've been feeling absolutely miserable all day and I think I might be coming down with something - I don't want to risk getting you sick.,3
